slug site,nom FR site,fichier Drive,statut,perimetre,remarque
massive-chat-aquarium,Chat aquarium,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Chat aquarium.png"" introuvable au Drive"
massive-chat-chameleon,Chat lézardé,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Chat chameleon.png"" introuvable au Drive"
massive-chat-deco,Chat art déco,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Chat deco.png"" introuvable au Drive"
massive-chat-enlevement,Enlèvement félin,Sticker Chat enlevement.png,match exact,mapping 270,
massive-chat-lsd,Chat vibration,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Chat lsd.png"" introuvable au Drive"
massive-chat-lsd2,Spirale féline,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Chat lsd2.png"" introuvable au Drive"
massive-chat-lsd3,Maneki psyché,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Chat lsd3.png"" introuvable au Drive"
massive-chat-oeils,Gros yeux,Sticker Chat oeils,match exact,mapping 270,
massive-chat-poisson-papillon,Chat rêveur,Sticker Chat poisson papillon.png,match exact,mapping 270,
massive-chat-roux-soucoupe,Roux cosmique,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Chat roux soucoupe.png"" introuvable au Drive"
massive-chat-sans-poils,Sphynx rose,Sticker Chat sans poils.png,match exact,mapping 270,
massive-chat-skull,Totem félin,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Chat Skull.png"" introuvable au Drive"
massive-chauvesourie,Chauve-monstre,Sticker chauvesourie.png,match exact,mapping 270,
massive-chenille,Dompteur chenille,Sticker Chenille.png,match exact,mapping 270,
massive-chest,Grosses lunettes,Sticker Chest.png,nom different,sync juillet,"site attend ""Sticker Grosses lunettes"", Drive a ""Sticker Chest.png"""
massive-chevron,Chevreau au trait,Sticker Chevron.png,nom different,sync juillet,"site attend ""Sticker Chevreau au trait"", Drive a ""Sticker Chevron.png"""
massive-chien-liseur,Chien lecteur,Sticker Chien liseur.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-chinoi-sabre,Sabre fleuri,Sticker Chinoi sabre.png,nom different,sync juillet,"site attend ""Sticker Sabre fleuri"", Drive a ""Sticker Chinoi sabre.png"""
massive-chinoise-fx,Masque écarlate,Sticker Chinoise fx.png,match exact,mapping 270,
massive-chinoise-papier,Origami,Sticker Chinoise papier.png,match exact,mapping 270,
massive-chmp-7,Champi doré,Sticker Chmp 7.png,match exact,mapping 270,
massive-cigogne,Cigogne lunaire,Sticker Cigogne.png,nom different,sync juillet,"site attend ""Sticker Cigogne lunaire"", Drive a ""Sticker Cigogne.png"""
massive-claun,Clown macabre,Sticker claun.png,match exact,mapping 270,
massive-cloudy,Nuage à l'œil,Sticker Cloudy.png,nom different,sync juillet,"site attend ""Sticker Nuage à l'œil"", Drive a ""Sticker Cloudy.png"""
massive-coagule,Koala punk,Sticker Coagule.png,match exact,mapping 270,
massive-cochon,Cochon rose,Sticker Cochon.png,match exact,mapping 270,
massive-cochon-punk,Porc mécano,Sticker Cochon punk.png,match exact,mapping 270,
massive-coeur,Cœur battant,Sticker Coeur.png,match exact,mapping 270,
massive-colorage,Cadre acide,Sticker colorage.png,match exact,mapping 270,
massive-colored-person,Visages fleuris,Sticker Colored person.png,nom different,sync juillet,"site attend ""Sticker Visages fleuris"", Drive a ""Sticker Colored person.png"""
massive-colorful-tatoo,Miroir floral,Sticker Colorful tatoo.png,match exact,mapping 270,
massive-coquelicot,Coquelicot,Stcker coquelicot.png,match exact,mapping 270,
massive-corns,Petit cornu,Sticker Corns.png,nom different,sync juillet,"site attend ""Sticker Petit cornu"", Drive a ""Sticker Corns.png"""
massive-couille,Face ahurie,Sticker Couille.png,match exact,mapping 270,
massive-couleur-noire,Fleur d'ébène,Sticker couleur noire.png,match exact,mapping 270,
massive-crane-ecarlate,Crâne écarlate,Sticker Red Skull.png,nom different,sync juillet,"site attend ""Sticker Crâne écarlate"", Drive a ""Sticker Red Skull.png"" [lien retrouve par comparaison d image]"
massive-crocodile-dandy,Croco dandy,Sticker Crocodile Victor Hugo.png,nom different,sync juillet,"site attend ""Sticker Croco dandy"", Drive a ""Sticker Crocodile Victor Hugo.png"" [lien retrouve par comparaison d image]"
massive-crow,Dame aux corbeaux,Sticker Crow.png,nom different,sync juillet,"site attend ""Sticker Dame aux corbeaux"", Drive a ""Sticker Crow.png"""
massive-cute-chien,Renard marin,Sticker Cute chien.png,match exact,mapping 270,
massive-cute-girl-manga,Rousse manga,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Cute girl manga.png"" introuvable au Drive"
massive-cute-monster,Chat cupcake,Sticker Cute monster.png,nom different,sync juillet,"site attend ""Sticker Chat cupcake"", Drive a ""Sticker Cute monster.png"""
massive-cute-ourson,Ourson surf,Sticker cute ourson.png,match exact,mapping 270,
massive-daddy,Papa poule,Sticker Daddy.png,nom different,sync juillet,"site attend ""Sticker Papa poule"", Drive a ""Sticker Daddy.png"""
massive-dame-doigts,Muse marine,Sticker dame doigts.png,match exact,mapping 270,
massive-dame-masque,Dame démon,Sticker dame masque.png,match exact,mapping 270,
massive-dansing-frog,Grenouille danseuse,Sticker Dansing Frog.png,nom different,sync juillet,"site attend ""Sticker Grenouille danseuse"", Drive a ""Sticker Dansing Frog.png"""
massive-destructured-person,Rameur seul,Sticker destructured person.png,match exact,mapping 270,
massive-detached-face,Visage éclaté,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Detached face.png"" introuvable au Drive"
massive-digital-art-1,Visage glitch I,Sticker Digital Art 1.png,nom different,sync juillet,"site attend ""Sticker Visage glitch I"", Drive a ""Sticker Digital Art 1.png"""
massive-digital-art-2,Visage glitch II,Sticker Digital Art 2.png,nom different,sync juillet,"site attend ""Sticker Visage glitch II"", Drive a ""Sticker Digital Art 2.png"""
massive-digital-art-3,Visage glitch III,Sticker Digital Art 3.png,nom different,sync juillet,"site attend ""Sticker Visage glitch III"", Drive a ""Sticker Digital Art 3.png"""
massive-digital-art-4,Visage glitch IV,Sticker Digital Art 4.png,nom different,sync juillet,"site attend ""Sticker Visage glitch IV"", Drive a ""Sticker Digital Art 4.png"""
massive-digital-flowers,Tête fleurie,Sticker Digital flowers.png,nom different,sync juillet,"site attend ""Sticker Tête fleurie"", Drive a ""Sticker Digital flowers.png"""
massive-dj-skull,DJ Faucheuse,Sticker Dj SKull.png,match exact,mapping 270,
massive-doberman,Dobermann chaîne,Sticker Doberman.png,nom different,sync juillet,"site attend ""Sticker Dobermann chaîne"", Drive a ""Sticker Doberman.png"""
massive-dont-panic,Pas de panique,Sticker Dont Panic1.png,nom different,sync juillet,"site attend ""Sticker Pas de panique"", Drive a ""Sticker Dont Panic1.png"" [lien retrouve par comparaison d image]"
massive-double-trouble,Double vertige,Sticker Double trouble.png,match exact,mapping 270,
massive-dragon-chine,Daruma dragon,Sticker Dragon chine.png,match exact,mapping 270,
massive-dragon-firefly,Dragon de jade,Sticker Dragon Firefly.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-elephant-graf,Éléphant graff,Sticker Elephant graf.png,match exact,mapping 270,
massive-elephant-ramen,Ramen géant,Sticker Elephant ramen.jpg,match exact,mapping 270,
massive-enfants-skull,Étreinte funèbre,Sticker Enfants Skull.png,match exact,mapping 270,
massive-enox,Gamer néon,StickerEnox.png,nom different,sync juillet,"site attend ""Sticker Gamer néon"", Drive a ""StickerEnox.png"" [lien retrouve par comparaison d image]"
massive-escargot,Escargot hurleur,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Escargot.png"" introuvable au Drive"
massive-face-facettes,Facettes,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Face facettes.png"" introuvable au Drive"
massive-fantasia,Bulles roses,Sticker fantasia.png,nom different,sync juillet,"site attend ""Sticker Bulles roses"", Drive a ""Sticker fantasia.png"""
massive-fat-graffeur,Ogre tagueur,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Fat Graffeur.png"" introuvable au Drive"
massive-fee,Fée colibri,Sticker fée.png,match exact,mapping 270,
massive-femme-casque,Cyber pieuvre,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Femme casque.png"" introuvable au Drive"
massive-femme-oeil-fumee,Éveil lotus,Sticker femme oeil fumée.png,match exact,mapping 270,
massive-fille-pleure,Double visage,Sticker fille pleure.png,match exact,mapping 270,
massive-fire-with-pet,Feu de camp,Sticker fire with pet.png,match exact,mapping 270,
massive-fisherman,Vieux pêcheur,Sticker Fisherman.png,nom different,sync juillet,"site attend ""Sticker Vieux pêcheur"", Drive a ""Sticker Fisherman.png"""
massive-fleur-degueu,Fleur carnivore,Sticker Fleur carnivore.psd,nom different,mapping 270,"site attend ""Sticker Fleur degueu.png"", Drive a ""Sticker Fleur carnivore.psd"" (PSD seulement)"
massive-flying-manta,Raie corail,Sticker Flying manta.png,nom different,sync juillet,"site attend ""Sticker Raie corail"", Drive a ""Sticker Flying manta.png"""
