slug site,nom FR site,fichier Drive,statut,perimetre,remarque
massive-mural-parc,Fresque cubiste,Sticker Mural Parc.png,nom different,sync juillet,"site attend ""Sticker Fresque cubiste"", Drive a ""Sticker Mural Parc.png"""
massive-neandertal,Néandertal vert,Sticker Néandertal.png,nom different,sync juillet,"site attend ""Sticker Néandertal vert"", Drive a ""Sticker Néandertal.png"""
massive-no-gods-no-king,Ni dieux ni maîtres,Sticker No Gods No King.png,nom different,sync juillet,"site attend ""Sticker Ni dieux ni maîtres"", Drive a ""Sticker No Gods No King.png"""
massive-noir-et-blanc-fire,Crinière de feu,Sticker Noir et blanc fire.png,match exact,mapping 270,
massive-oeuvre-anabite,Macareux pêcheur,Sticker Oeuvre Anabite.png,match exact,mapping 270,
massive-oiseau-ruche,Nichoir occupé,Sticker oiseau ruche.png,match exact,mapping 270,
massive-oiso-dessin,Geai d'automne,Sticker oiso dessin.png,match exact,mapping 270,
massive-oiso1,Pigeon vitrail,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker oiso1.png"" introuvable au Drive"
massive-oiso2,Rapace roux,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Oiso2.png"" introuvable au Drive"
massive-oizo,Échassier fluo,Sticker Oizo.png,match exact,mapping 270,
massive-ours-blanc,Ourson polaire,Sticker Ours blanc.png,match exact,mapping 270,
massive-ours2,Loutre plagiste,Sticker Ours2.png,match exact,mapping 270,
massive-panda-cute,Panda bambou,Sticker Panda cute.png,match exact,mapping 270,
massive-papillon,Papillon nuit,Sticker Papillon.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-paresseux,Paresseux surf,Sticker Paresseux.png,match exact,mapping 270,
massive-patins,Clown patineur,Sticker Patins.png,match exact,mapping 270,
massive-peace,Paix brûlante,Sticker Peace.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-pengouin-cactus,Manchot cactus,Sticker Pengouin cactus.png,match exact,mapping 270,
massive-peroquet,Toucan tribal,Sticker peroquet.png,match exact,mapping 270,
massive-petit-chien,Cabot bleu,Sticker Petit chien.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-piece-verte,Crânes siamois,Sticker Piece verte.png,match exact,mapping 270,
massive-pieuvre-skull,Crâne kraken,Sticker pieuvre skull.png,match exact,mapping 270,
massive-pig-chapeau,Parrain rose,Sticker pig chapeau.png,match exact,mapping 270,
massive-pigeon,Cœur brisé,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Pigeon.png"" introuvable au Drive"
massive-pigeon-gris,Pigeon sneakers,Sticker pigeon gris.png,match exact,mapping 270,
massive-pink-grafeur,Graffeur carmin,Sticker Pink Grafeur.png,match exact,mapping 270,
massive-pint-beyond-lines,Au-delà des lignes,Sticker Pint Beyond Lines.png,nom different,sync juillet,"site attend ""Sticker Au-delà des lignes"", Drive a ""Sticker Pint Beyond Lines.png"""
massive-pinup-bleue,Pin-up bleue,Sticker Pinup bleue.png,match exact,mapping 270,
massive-pirate-epee,Flibustier,Sticker Pirate épée.png,match exact,mapping 270,
massive-pirate-goth,Pirate gothique,Sticker Pirate Goth.png,nom different,sync juillet,"site attend ""Sticker Pirate gothique"", Drive a ""Sticker Pirate Goth.png"""
massive-pirate-pengouin,Manchot pirate,Sticker Pirate pengouin.png,match exact,mapping 270,
massive-pirate-skull-faucheuse,Pirate faucheur,Sticker Pirate skull faucheuse.png,match exact,mapping 270,
massive-piraton,Badge pirate,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Piraton.png"" introuvable au Drive"
massive-planche,Planche hibiscus,Sticker Planche.png,match exact,mapping 270,
massive-poilrose,Monstre marteau,Sticker poilrose.png,match exact,mapping 270,
massive-poison,Agent toxique,Sticker poison.png,match exact,mapping 270,
massive-poison-2,Toxique fleuri,Sticker Poison 2.png,match exact,mapping 270,
massive-poisson-chat,Poisson-chat,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker poisson chat.png"" introuvable au Drive"
massive-poisson-inquiet,Poisson nerveux,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker poisson inquiet.png"" introuvable au Drive"
massive-poisson-rose,Poisson bonbon,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Poisson rose.png"" introuvable au Drive"
massive-poisson-rouge,Rouge lucide,Sticker Poisson rouge.png,match exact,mapping 270,
massive-police,Fourgon tagué,Sticker Police.png,match exact,mapping 270,
massive-poskai,Poisson lune,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Poskai.png"" introuvable au Drive"
massive-poskai-zombie,Bocal maudit,Sticker Poskaï zombie.png,match exact,mapping 270,
massive-poulet-lunette,Coq rockstar,Sticker Poulet Lunette.png,match exact,mapping 270,
massive-poulets,Duel de coqs,Sticker Poulets.png,match exact,mapping 270,
massive-poulpe,Poulpe rose,Sticker poulpe.png,match exact,mapping 270,
massive-poulpon,Poulpe corail,Sticker Poulpon.png,match exact,mapping 270,
massive-poussin,Poussin nouilles,Sticker Poussin.png,nom different,sync juillet,"site attend ""Sticker Poussin nouilles"", Drive a ""Sticker Poussin.png"""
massive-pretty,Bel oiseau,Sticker Pretty.png,match exact,mapping 270,
massive-prier,Prière squelette,Sticker Prier.png,nom different,sync juillet,"site attend ""Sticker Prière squelette"", Drive a ""Sticker Prier.png"""
massive-propaganda,Propagande,Sticker Propaganda.png,match exact,mapping 270,
massive-ptit-robot,Robot café,Sticker ptit robot.png,match exact,mapping 270,
massive-punk-rose,Punk poupée,Sticker punk rose.png,match exact,mapping 270,
massive-quartier-chinoi,Opéra de Pékin,Sticker Quartier Chinoi.png,nom different,sync juillet,"site attend ""Sticker Opéra de Pékin"", Drive a ""Sticker Quartier Chinoi.png"""
massive-racoon,Raton paddle,Sticker Racoon.png,match exact,mapping 270,
massive-ramen,Ramen rétro,Sticker Ramen,match exact,mapping 270,
massive-reaper-aile,Faucheur ailé,Sticker Mort copy.png,nom different,sync juillet,"site attend ""Sticker Faucheur ailé"", Drive a ""Sticker Mort copy.png"" [lien retrouve par comparaison d image]"
massive-rechercheur,Alambic maudit,Sticker Rechercheur.png,match exact,mapping 270,
massive-red-man,Boule rousse cornue,Sticker Red Man.png,nom different,sync juillet,"site attend ""Sticker Boule rousse cornue"", Drive a ""Sticker Red Man.png"""
massive-red-nose,Nez rouge,Sticker Red nose.png,nom different,sync juillet,"site attend ""Sticker Nez rouge"", Drive a ""Sticker Red nose.png"""
massive-regard-vers-le-haut,Ascension,Sticker Regard vers le haut.png,match exact,mapping 270,
massive-renard,Chaton surfeur,Sticker Renard.png,match exact,mapping 270,
massive-renardos,Loup néon,Sticker Loup Neon.psd,nom different,mapping 270,"site attend ""Sticker Renardos.png"", Drive a ""Sticker Loup Neon.psd"" (PSD seulement)"
massive-requin,Croco vague,Sticker Requin.png,match exact,mapping 270,
massive-rhino,Tricéra surf,Sticker Rhino.png,match exact,mapping 270,
massive-rhino-relax,Dodo debout,Sticker Rhino relax.png,match exact,mapping 270,
massive-rhino2,Rhino rebelle,Sticker Rhino2.png,match exact,mapping 270,
massive-robot-bubble,Robot bulle,Sticker Robot Bubble.png,nom different,sync juillet,"site attend ""Sticker Robot bulle"", Drive a ""Sticker Robot Bubble.png"""
massive-robot-qui-court,Robot pressé,Sticker Robot qui court.png,match exact,mapping 270,
massive-rousse,Zombie glace,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker rousse.png"" introuvable au Drive"
massive-rousse-couteau,Rousse lame,Sticker rousse couteau.png,match exact,mapping 270,
massive-run,Sprint final,Sticker run.png,match exact,mapping 270,
massive-sad-geisha,Geisha triste,Sticker Sad Geisha.png,nom different,sync juillet,"site attend ""Sticker Geisha triste"", Drive a ""Sticker Sad Geisha.png"""
massive-sainte-lucie,Sainte crânienne,Sticker Sainte lucie.png,nom different,sync juillet,"site attend ""Sticker Sainte crânienne"", Drive a ""Sticker Sainte lucie.png"""
massive-samourai-gris,Hannya acier,Sticker samourai gris.png,match exact,mapping 270,
massive-samourai-violet,Oni pourpre,Sticker Samourai violet.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-savage,Crâne graffé,Sticker Savage.png,nom different,sync juillet,"site attend ""Sticker Crâne graffé"", Drive a ""Sticker Savage.png"""
massive-savant-vert,Savant bocal,Sticker savant vert.png,match exact,mapping 270,
massive-saving-soul,Deux petites âmes,Sticker Saving Soul.png,nom different,sync juillet,"site attend ""Sticker Deux petites âmes"", Drive a ""Sticker Saving Soul.png"""
massive-serpent-lion,Serpent lion,Sticker Serpent lion.png,match exact,sync juillet,
massive-shark-hunter,Chasseur requin,Sticker Shark Hunter.png,match exact,mapping 270,
massive-shave-n-cuts,Barbier squelette,Sticker Shave n cuts.png,nom different,sync juillet,"site attend ""Sticker Barbier squelette"", Drive a ""Sticker Shave n cuts.png"""
massive-singe-teuffeur,Gremlin rave,Sticker Singe teuffeur.png,match exact,mapping 270,
massive-skull-art,Crâne éclair,Sticker Skull Art.png,nom different,sync juillet,"site attend ""Sticker Crâne éclair"", Drive a ""Sticker Skull Art.png"""
massive-skull-billard,Matière grise,Sticker Skull billard.png,match exact,mapping 270,
massive-skull-bouquet,Bouquet de crânes,Sticker Skull Bouquet.png,nom different,sync juillet,"site attend ""Sticker Bouquet de crânes"", Drive a ""Sticker Skull Bouquet.png"""
massive-skull-butterfly,Papillon crâne,Sticker Skull Butterfly.png,nom different,sync juillet,"site attend ""Sticker Papillon crâne"", Drive a ""Sticker Skull Butterfly.png"""
massive-skull-casquette,Crâne coulant,Sticker Skull casquette.png,match exact,mapping 270,
massive-skull-cervo,Cerveau rose,Sticker skull cervo.png,match exact,mapping 270,
massive-skull-chapeau,Sorcier violet,Sticker Skull chapeau.png,match exact,mapping 270,
massive-skull-coup,Fonte acide,Sticker Skull coup.png,match exact,mapping 270,
massive-skull-digital-art,Crâne fleuri,Sticker Skull Digital Art.png,nom different,sync juillet,"site attend ""Sticker Crâne fleuri"", Drive a ""Sticker Skull Digital Art.png"""
massive-skull-fif,Crâne fluo,Sticker Skull fif.png,match exact,mapping 270,
massive-skull-fleur,Crâne floral,Sticker skull fleur.png,match exact,mapping 270,
massive-skull-hearth,Cœur d'os,Sticker Skull Hearth.png,nom different,sync juillet,"site attend ""Sticker Cœur d'os"", Drive a ""Sticker Skull Hearth.png"""
massive-skull-kaboom,Kaboom,Sticker Skull Kaboom.png,match exact,mapping 270,
massive-skull-life-death,Janus,Sticker Skull Life Death,match exact,mapping 270,
massive-skull-octopus,Prêtre kraken,Sticker Skull Octopus.png,nom different,sync juillet,"site attend ""Sticker Prêtre kraken"", Drive a ""Sticker Skull Octopus.png"""
massive-skull-oeil,Regard fondu,Sticker Skull oeil.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-skull-poison,Cyclope toxique,Sticker Skull poison.png,match exact,mapping 270,
massive-slowride,Cox turquoise,Sticker Slowride.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-small-astronauts,Petits astronautes,Sticker Small Astronauts.png,nom different,sync juillet,"site attend ""Sticker Petits astronautes"", Drive a ""Sticker Small Astronauts.png"""
massive-smoke,Brume rose,Sticker Smoke.png,match exact,mapping 270,
massive-smoke-zombie-relax,Pause zombie,Sticker Smoke Zombie relax.png,match exact,mapping 270,
massive-soleil-oeils,Reine solaire,Sticker Soleil oeils.png,match exact,mapping 270,
massive-soucoupe,Rayon complice,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Soucoupe.png"" introuvable au Drive"
massive-speakers,Mur de son,Sticker Speakers.png,nom different,sync juillet,"site attend ""Sticker Mur de son"", Drive a ""Sticker Speakers.png"""
massive-statue-liberte,Liberté zombie,Sticker Statue liberté.png,match exact,mapping 270,
massive-stay-savage,Gorille savage,Sticker Stay Savage.png,nom different,sync juillet,"site attend ""Sticker Gorille savage"", Drive a ""Sticker Stay Savage.png"""
massive-stickers-dont-touch-my-truck,Pas touche,Sticker Stickers Dont touch my truck,match exact,mapping 270,
massive-street-art-3,Explosion graffiti,Sticker Street art 3.png,nom different,sync juillet,"site attend ""Sticker Explosion graffiti"", Drive a ""Sticker Street art 3.png"""
massive-street-samourai,Ronin des rues,Sticker street Samourai.png,nom different,sync juillet,"site attend ""Sticker Ronin des rues"", Drive a ""Sticker street Samourai.png"""
massive-super-chinoi,Scooter mauve,Sticker Super Chinoi.png,nom different,sync juillet,"site attend ""Sticker Scooter mauve"", Drive a ""Sticker Super Chinoi.png"""
massive-swim-card,Nage ou coule,Sticker Swim Card,match exact,mapping 270,
massive-symetrie-asian,Mandala vivant,Sticker symetrie asian.png,match exact,mapping 270,
massive-tagueur,Tagueur squelette,Sticker Tagueur.png,match exact,mapping 270,
massive-tatoo-skull,Crâne tatoué,Sticker Tatoo Skull.png,nom different,sync juillet,"site attend ""Sticker Crâne tatoué"", Drive a ""Sticker Tatoo Skull.png"""
massive-tete-de-noeud,Coup de masse,Sticker Tete de noeud.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-tiger,Tigre feuillage,Sticker Tiger.png,match exact,mapping 270,
massive-tiger-2,Tigre fleuri,Sticker Tiger 2.png,nom different,sync juillet,"site attend ""Sticker Tigre fleuri"", Drive a ""Sticker Tiger 2.png"""
massive-tokyo,Tokyo bloc,Sticker Tokyo,match exact,mapping 270,
massive-tortue,Bébé tortue,Sticker Tortue.png,match exact,mapping 270,
massive-totem-angry,Tiki fâché,Sticker Totem angry.png,match exact,mapping 270,
massive-totem-bleu,Roi totem,Sticker Totem bleu.png,match exact,mapping 270,
massive-totem-bleu-vert,Masque jungle,Sticker Totem bleu vert.png,match exact,mapping 270,
massive-train-demon,Train démon,Sticker Train demon.png,match exact,mapping 270,
massive-tram,Tram vert,Sticker Tram.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-treasue-talker,Perroquets pirates,Sticker Treasue Talker.png,match exact,mapping 270,
massive-tribal-eyes,Vision tribale,Sticker Tribal eyes.png,match exact,mapping 270,
massive-triskull,Trio funèbre,Sticker triskull.png,match exact,mapping 270,
massive-tuc-jaune,Touffe bleue,Sticker Tuc Jaune.png,nom different,sync juillet,"site attend ""Sticker Touffe bleue"", Drive a ""Sticker Tuc Jaune.png"""
massive-tv-man,Tête cathodique,Sticker tv man.png,match exact,mapping 270,
massive-tv-man-fish,Carpe cathodique,Sticker Tv Man Fish.png,nom different,sync juillet,"site attend ""Sticker Carpe cathodique"", Drive a ""Sticker Tv Man Fish.png"""
massive-tv-warrior,Guerrier cathodique,Sticker Tv Warrior.png,nom different,sync juillet,"site attend ""Sticker Guerrier cathodique"", Drive a ""Sticker Tv Warrior.png"""
massive-unlearn,Désapprendre,Sticker Unlearn.png,match exact,mapping 270,
massive-velociraptor,Bébé raptor,Sticker velociraptor.png,match exact,mapping 270,
massive-ver,Ver à l'hameçon,Sticker Ver.png,match exact,mapping 270,
massive-ver-et-pomme,Pomme piégée,Sticker Ver et pomme.png,match exact,mapping 270,
massive-voiture-rouge,Diable au volant,Sticker Voiture rouge.png,match exact,mapping 270,
massive-wesh,Slush éternel,Sticker Wesh.png,match exact,mapping 270,
massive-woman-mosaic,Femme mosaïque,Sticker Woman Mosaic.png,nom different,sync juillet,"site attend ""Sticker Femme mosaïque"", Drive a ""Sticker Woman Mosaic.png"""
massive-woods,Appel des bois,Sticker Woods.png,match exact,mapping 270,
massive-zombie-bleu-smoke,Fumeur bleu,Sticker Zombie bleu smoke.png,match exact,mapping 270,
massive-zombie-double-trouble,Jumeaux toxiques,Sticker Zombie double trouble.png,match exact,mapping 270,
massive-zombie-galere,Traîne-savates,Sticker Zombie galere.png,match exact,mapping 270,
massive-zombie-main-homme,Penseur zombie,Sticker Zombie main homme.png,match exact,mapping 270,
massive-zombie-spider,Vermine,Sticker Zombie spider.png,match exact,mapping 270,
massive-zombie-vert-main,Revenant vert,Sticker Zombie vert main.png,match exact,mapping 270,
massive-zoulou-graf,Graffeur des bois,Sticker Zoulou graf.png,match exact,mapping 270,
